PRCSCITYPOINT_BSSHNM,INDUTY_CD_NM,LCNS_NO,DSPS_DCSNDT,DSPS_BGNDT,DSPS_ENDDT,DSPS_TYPECD_NM,VILTCN,ADDR,TELNO,PRSDNT_NM,DSPSCN,LAWORD_CD_NM,PUBLIC_DT,LAST_UPDT_DTM,DSPS_INSTTCD_NM,DSPSDTLS_SEQ,sido,sigungu,disposition_decision_date,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
(주)씨밀레에프에스,식품제조가공업,20160345064,20260902,20260908,20260922,품목제조정지,(20260428)자가품질검사 미실시(냉동당근 등 13개품목),경기도 하남시,,,품목제조정지 15일(26.9.8.~9.22.),식품위생법 제31조(자가품질검사 의무) 1항,2026-09-22 00:00:00.0,2026-09-03 19:40:24.538,경기도 하남시,4740591,경기도,경기도 하남시,2026-09-02,2,2,2,(주)씨밀레에프에스,식품제조가공업,경기도,경기도 하남시
농업회사법인 주식회사 레드원,식품제조가공업,20200587490,20260902,20260903,20261002,영업정지,(20260814)소비기한 연장,경상남도 창원시 마산합포구,,,2026. 9. 3.~2026. 10. 2.,식품 등의 표시·광고에 관한 법률,2026-10-31 00:00:00.0,2026-09-03 19:40:24.538,경상남도 창원시 마산합포구,4740461,경상남도,경상남도 창원시,2026-09-02,2,2,2,농업회사법인 주식회사 레드원,식품제조가공업,경상남도,경상남도 창원시
(유)타르트제작소,식품제조가공업,20200507581,20260903,20260909,20261008,영업정지,(20250417)표시 대상 식품등에 표시사항 전부를 표시하지 않은 경우,전남광주통합특별시 무안군,,,영업정지,식품 등의 표시·광고에 관한 법률 제4조(표시의 기준) 3항,2026-11-06 00:00:00.0,2026-09-08 19:40:21.711,전남광주통합특별시 무안군,4741153,전남광주통합특별시,전남광주통합특별시 무안군,2026-09-03,2,1,1,(유)타르트제작소,식품제조가공업,전남광주통합특별시,전남광주통합특별시 무안군
새싹푸드,식품제조가공업,20120311458,20260903,20260907,20260921,품목제조정지,"(20260804)소비자 안전을 위한 주의사항 중 알레르기 유발물질 표시대상을 별도 알레르기 표시란에 표시하지 않은 경우
제품명: 본초맘죽 참치야채죽, 본초맘죽 짬뽕죽",경기도 화성시 효행구,,,품목제조정지 15일과 해당 제품 폐기,식품 등의 표시·광고에 관한 법률 제4조(표시의 기준) 3항,2026-09-21 00:00:00.0,2026-09-04 12:40:22.63,경기도 화성시,4737843,경기도,경기도 화성시,2026-09-03,6,3,3,새싹푸드,식품제조가공업,경기도,경기도 화성시
포항블루베리농원,식품제조가공업,20140533049,20260904,20260910,20261009,품목류제조정지,"(20260810)납 검출기준 위반(제품명: 참조아라 유기농 블루베리즙, 식품유형: 과채주스)",경상북도 포항시 남구,,,품목류제조정지(2026.9.10.~2026.10.9.),식품위생법 제7조(식품 또는 식품첨가물에 관한 기준 및 규격) 4항,2026-10-09 00:00:00.0,2026-09-12 18:41:07.906,경상북도 포항시,4741952,경상북도,경상북도 포항시,2026-09-04,1,1,1,포항블루베리농원,식품제조가공업,경상북도,경상북도 포항시
(주)예다손 나주공장,식품제조가공업,20020512164,20260907,20260922,20260928,품목제조정지,(20260716)금속성 이물(철사) 혼입,전남광주통합특별시 나주시,,,품목제조정지 7일과 해당 제품 폐기,식품위생법 제7조(식품 또는 식품첨가물에 관한 기준 및 규격) 4항,2026-09-28 00:00:00.0,2026-09-10 19:40:15.086,전남광주통합특별시 나주시,4735911,전남광주통합특별시,전남광주통합특별시 나주시,2026-09-07,2,2,2,(주)예다손 나주공장,식품제조가공업,전남광주통합특별시,전남광주통합특별시 나주시
금호제과,식품제조가공업,20110370209,20260907,20260907,20260921,품목제조정지,"(20260805)알레르기 유발 물질 표시 대상을 별도 알레르기 표시란에 표시하지 않은 경우
- 제품내역: 두부과자 140g(20110370209-39)
- 미표시 알레르기 유발 원재료: 두부(대두), 땅콩분말(땅콩), 계란, 밀가루(밀)",경기도 양주시,,,품목제조정지15일(20260907~20260921),식품 등의 표시·광고에 관한 법률 제4조(표시의 기준) 3항,2026-09-21 00:00:00.0,2026-09-13 15:40:22.204,경기도 양주시,4742000,경기도,경기도 양주시,2026-09-07,1,1,1,금호제과,식품제조가공업,경기도,경기도 양주시
(주)자연사랑,식품제조가공업,20180407292,20260907,20260907,-,영업허가·등록취소,(20260803)정당한 사유없이 6개월 이상 휴업한 경우,강원특별자치도 동해시,,,영업등록취소,식품위생법 제75조(허가취소 등) 3항,2028-09-05 00:00:00.0,2026-09-09 11:40:27.209,강원특별자치도 동해시,4735511,강원특별자치도,강원특별자치도 동해시,2026-09-07,1,1,1,(주)자연사랑,식품제조가공업,강원특별자치도,강원특별자치도 동해시
농업회사법인(주)상벽,식품제조가공업,20190391503,20260909,20260910,20260916,영업정지,"(20260828)창수면 옥수로 136-27, 나동의 일부를 신고하지 아니하고 영업소 창고로 사용",경기도 포천시,,,영업정지,식품위생법 제37조(영업허가 등),2026-09-22 00:00:00.0,2026-09-17 01:40:25.008,경기도 포천시,4742982,경기도,경기도 포천시,2026-09-09,2,2,2,농업회사법인(주)상벽,식품제조가공업,경기도,경기도 포천시
농업회사법인(주)상벽,식품제조가공업,20190391503,20260909,20260910,20261009,품목제조정지,"(20260714)간청고비당플러스는 기타발효음료에 해당하나, 제품에 ‘BARLEY GRASS JUICE’로 표시하여 다른 식품유형으로 오인혼동 가능하도록 표시함",경기도 포천시,,,품목제조정지,식품 등의 표시·광고에 관한 법률 제8조(부당한 표시 또는 광고행위의 금지) 1항,2026-10-09 00:00:00.0,2026-09-17 01:40:25.008,경기도 포천시,4742980,경기도,경기도 포천시,2026-09-09,2,2,2,농업회사법인(주)상벽,식품제조가공업,경기도,경기도 포천시
(주)싱싱,식품제조가공업,20140345140,20260910,20260910,-,영업허가·등록취소,(20260617)영업시설의 전부를 철거,경기도 하남시,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2028-09-08 00:00:00.0,2026-09-12 12:40:34.146,경기도 하남시,4741875,경기도,경기도 하남시,2026-09-10,2,2,2,(주)싱싱,식품제조가공업,경기도,경기도 하남시
주식회사 만두보국,식품제조가공업,20180036284,20260915,20260921,20260927,품목제조정지,"(20260827)만두보국 고기만두(품목보고번호: 201800362842, 식품유형: 만두, 소비기한: 2027년 4월 21일)를 제조하는 과정에서 이물(금속이물: 원재료 부추 결속끈) 혼입",서울특별시 성동구,,,품목 제조정지,식품위생법 제7조(식품 또는 식품첨가물에 관한 기준 및 규격) 4항,2026-09-27 00:00:00.0,2026-09-15 20:40:45.306,서울특별시 성동구,4740664,서울특별시,서울특별시 성동구,2026-09-15,1,1,1,주식회사 만두보국,식품제조가공업,서울특별시,서울특별시 성동구
