PRCSCITYPOINT_BSSHNM,INDUTY_CD_NM,LCNS_NO,DSPS_DCSNDT,DSPS_BGNDT,DSPS_ENDDT,DSPS_TYPECD_NM,VILTCN,ADDR,TELNO,PRSDNT_NM,DSPSCN,LAWORD_CD_NM,PUBLIC_DT,LAST_UPDT_DTM,DSPS_INSTTCD_NM,DSPSDTLS_SEQ,sido,sigungu,disposition_decision_date,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
구두미영농조합법인,식품제조가공업,20130631196,20251126,20251126,-,영업허가·등록취소,"(20250827)○ 영업자가 정당한 사유없이 6개월 이상 계속 휴업
  - 위반(적발) 기간: 2025. 2. 25. ~ 8. 27.",제주특별자치도 서귀포시,,,영업 등록취소,식품위생법 제75조(허가취소 등) 3항,2027-11-25 00:00:00.0,2026-01-10 12:40:42.911,제주특별자치도 서귀포시,4686322,제주특별자치도,제주특별자치도 서귀포시,2025-11-26,1,1,1,구두미영농조합법인,식품제조가공업,제주특별자치도,제주특별자치도 서귀포시
(유)이엠푸드,식품제조가공업,20180491515,20251201,20251201,-,영업허가·등록취소,(20250819)정당한 사유 없이 6개월 이상 휴업,전북특별자치도 익산시,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2027-11-30 00:00:00.0,2025-11-18 17:41:15.489,전북특별자치도 익산시,4695219,전북특별자치도,전북특별자치도 익산시,2025-12-01,1,1,1,(유)이엠푸드,식품제조가공업,전북특별자치도,전북특별자치도 익산시
농업회사법인(주)그린농장,식품제조가공업,20190491301,20251201,20251201,-,영업허가·등록취소,(20250819)정당한 사유 없이 6개월 이상 휴업,전북특별자치도 익산시,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2027-11-30 00:00:00.0,2025-11-18 17:41:15.489,전북특별자치도 익산시,4695233,전북특별자치도,전북특별자치도 익산시,2025-12-01,4,4,4,농업회사법인(주)그린농장,식품제조가공업,전북특별자치도,전북특별자치도 익산시
주식회사원더랜드인터내셔날,식품제조가공업,20220204045,20251204,20251204,-,영업소폐쇄,(20251112)영업시설물 전부 철거,대구광역시 중구,,,영업소폐쇄,식품위생법 제36조(시설기준),2027-12-03 00:00:00.0,2025-12-16 12:41:36.468,대구광역시 중구,4699981,대구광역시,대구광역시 중구,2025-12-04,2,2,2,주식회사원더랜드인터내셔날,식품제조가공업,대구광역시,대구광역시 중구
(주)코놀,식품제조가공업,20190501043,20251209,20251209,-,영업허가·등록취소,(20251106)영업장 전부 철거(영업장 멸실),전북특별자치도 장수군,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2027-12-08 00:00:00.0,2026-07-01 00:55:46.815,전북특별자치도 장수군,4699003,전북특별자치도,전북특별자치도 장수군,2025-12-09,4,4,3,(주)코놀,식품제조가공업,전북특별자치도,전북특별자치도 장수군
(주)고려푸드뱅크,식품제조가공업,19830144029,20251217,20251217,-,영업허가·등록취소,"(20250728)2025.3.14/2025.4.10./2025.7.28 현장확인결과,
영업관련 시설물 철거하여 영업하지 않음이 확인됨",부산광역시 강서구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2027-12-16 00:00:00.0,2025-12-18 16:43:12.958,부산광역시 강서구,4700476,부산광역시,부산광역시 강서구,2025-12-17,2,1,1,고려식품산업사,식품제조가공업,부산광역시,부산광역시 사하구
이수식품(주),식품제조가공업,20160333453,20251226,20251226,-,영업소폐쇄,(20251127)영업시설물 멸실,경기도 남양주시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2027-12-25 00:00:00.0,2025-12-27 17:40:39.499,경기도 남양주시,4702187,경기도,경기도 남양주시,2025-12-26,3,3,3,이수식품(주),식품제조가공업,경기도,경기도 남양주시
주식회사 더바른제과,식품제조가공업,20190348579,20251226,20251226,-,영업소폐쇄,(20251127)영업시설물 멸실,경기도 남양주시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2027-12-25 00:00:00.0,2025-12-27 17:40:39.499,경기도 남양주시,4702184,경기도,경기도 남양주시,2025-12-26,2,2,2,주식회사 더바른제과,식품제조가공업,경기도,경기도 남양주시
주식회사마마스버켓,식품제조가공업,20150449068,20260106,20260106,-,영업허가·등록취소,(20251023)영업시설을 전부 철거 후 영업을 하지 아니함.,충청남도 천안시 서북구,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2028-01-05 00:00:00.0,2026-01-03 12:41:03.934,충청남도 천안시,4695569,충청남도,충청남도 천안시,2026-01-06,2,2,2,주식회사마마스버켓,식품제조가공업,충청남도,충청남도 천안시
(주)개성상인,식품제조가공업,20170370741,20260223,20260223,-,영업소폐쇄,(20251118)영업시설물 전부를 철거한 경우,경기도 양주시,,,영업소폐쇄,식품위생법 제37조(영업허가 등),2028-02-22 00:00:00.0,2026-03-13 16:40:22.663,경기도 양주시,4710469,경기도,경기도 양주시,2026-02-23,2,2,2,(주)개성상인,식품제조가공업,경기도,경기도 양주시
(주)대동,식품제조가공업,20210349189,20260223,20260223,-,영업소폐쇄,(20260122)시설물멸실,경기도 남양주시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2028-02-22 00:00:00.0,2026-03-13 16:40:22.663,경기도 남양주시,4710450,경기도,경기도 남양주시,2026-02-23,1,1,1,(주)대동,식품제조가공업,경기도,경기도 남양주시
(주)청목,식품제조가공업,19970332070,20260223,20260223,-,영업소폐쇄,(20260122)영업시설물 멸실,경기도 남양주시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2028-02-22 00:00:00.0,2026-03-13 16:40:22.663,경기도 남양주시,4710654,경기도,경기도 남양주시,2026-02-23,1,1,1,(주)청목,식품제조가공업,경기도,경기도 남양주시
조이쿡시스템,식품제조가공업,20030445240,20260304,20260304,-,영업소폐쇄,(20260202)사업자등록 폐업,충청북도 음성군,,,영업소폐쇄,식품위생법 제37조(영업허가 등) 7항,2028-03-02 00:00:00.0,2026-08-25 17:40:34.06,충청북도 음성군,4738944,충청북도,충청북도 음성군,2026-03-04,2,2,2,조이쿡시스템,식품제조가공업,충청북도,충청북도 음성군
찜하다 주식회사,식품제조가공업,20220545269,20260305,20260305,-,영업허가·등록취소,"(20260128)「식품위생법」제37조 제5항 위반, 폐업신고 미이행 및 시설물 멸실",강원특별자치도 동해시,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2028-03-03 00:00:00.0,2026-03-13 16:40:22.663,강원특별자치도 동해시,4711934,강원특별자치도,강원특별자치도 동해시,2026-03-05,1,1,1,찜하다 주식회사,식품제조가공업,강원특별자치도,강원특별자치도 동해시
(주)이엠에스,식품제조가공업,20110163450,20260309,20260309,-,영업소폐쇄,(20260129)영업시설물 전부철거,대구광역시 서구,,,영업소폐쇄,식품위생법 제37조(영업허가 등),2028-03-07 00:00:00.0,2026-03-13 16:40:22.663,대구광역시 서구,4711824,대구광역시,대구광역시 서구,2026-03-09,1,1,1,(주)이엠에스,식품제조가공업,대구광역시,대구광역시 서구
주식회사 밥앤국,식품제조가공업,20200164119,20260309,20260309,-,영업소폐쇄,(20260129)영업시설물 전부철거,대구광역시 서구,,,영업소폐쇄,식품위생법 제37조(영업허가 등),2028-03-07 00:00:00.0,2026-03-13 16:40:22.663,대구광역시 서구,4711822,대구광역시,대구광역시 서구,2026-03-09,2,2,2,주식회사 밥앤국,식품제조가공업,대구광역시,대구광역시 서구
달콤한상상 주식회사,식품제조가공업,20170333875,20260313,20260320,-,영업소폐쇄,(20260212)영업시설물멸실,경기도 남양주시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2028-03-11 00:00:00.0,2026-03-31 13:40:52.906,경기도 남양주시,4715480,경기도,경기도 남양주시,2026-03-13,2,2,2,달콤한상상 주식회사,식품제조가공업,경기도,경기도 남양주시
농업회사법인참미김치주식회사,식품제조가공업,20170160158,20260325,20260325,-,영업허가·등록취소,(20260212)영업시설 전부 철거,대구광역시 동구,,,영업등록취소,식품위생법 제37조(영업허가 등),2028-03-23 00:00:00.0,2026-04-01 15:40:49.666,대구광역시 동구,4715810,대구광역시,대구광역시 동구,2026-03-25,4,4,2,농업회사법인참미김치주식회사,식품제조가공업,대구광역시,대구광역시 동구
자연애,식품제조가공업,20230687108,20260331,20260416,-,영업허가·등록취소,(20260320)세무서 사업자등록 폐업(2025.08.22.)에 따른 영업등록사항 직권말소,전북특별자치도 군산시,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등) 7항,2028-03-29 00:00:00.0,2026-04-17 12:40:22.961,전북특별자치도 군산시,4718211,전북특별자치도,전북특별자치도 군산시,2026-03-31,1,1,1,자연애,식품제조가공업,전북특별자치도,전북특별자치도 군산시
유한회사 마더구스,식품제조가공업,20070288141,20260401,20260401,20260630,영업정지,(20250605)식품위생법 제4조(위해식품등의 판매 등 금지),경기도 안양시 만안구,,,"영업정지 3개월 갈음 과징금 342,000,000원",식품위생법 제4조(위해식품등의 판매 등 금지),2026-09-28 00:00:00.0,2026-09-06 12:40:22.36,경기도 안양시,4716360,경기도,경기도 안양시,2026-04-01,3,3,3,유한회사 마더구스,식품제조가공업,경기도,경기도 안양시
(주)삼삼해물,식품제조가공업,20210335571,20260402,20260402,-,영업소폐쇄,(20260304)영업시설물 전부 철거,경기도 평택시,,,영업소폐쇄,식품위생법 제36조(시설기준),2028-03-31 00:00:00.0,2026-04-03 20:40:09.124,경기도 평택시,4716384,경기도,경기도 평택시,2026-04-02,10,5,5,(주)삼삼해물,식품제조가공업,경기도,경기도 고양시
(주)대양식품,식품소분업,20020370019,20260410,20260410,-,영업소폐쇄,(20251117)영업시설물 전부 철거,경기도 양주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2028-04-08 00:00:00.0,2026-04-22 20:40:13.191,경기도 양주시,4718991,경기도,경기도 양주시,2026-04-10,1,1,1,(주)대양식품,식품소분업,경기도,경기도 양주시
드림바이오 주식회사,식품제조가공업,20150403012,20260507,20260507,-,영업허가·등록취소,(20260211)정상다한 사유없이 6개월 이상 휴업,강원특별자치도 고성군,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2028-05-05 00:00:00.0,2026-05-30 13:40:08.26,강원특별자치도 고성군,4723944,강원특별자치도,강원특별자치도 고성군,2026-05-07,12,12,11,드림바이오 주식회사,식품제조가공업,강원특별자치도,강원특별자치도 고성군
(주)정동에프앤비,식품제조가공업,20180280127,20260512,20260512,-,영업허가·등록취소,(20260312)영업시설의 전부를 철거(시설물 멸실),경기도 광주시,,,영업등록취소,식품위생법 제36조(시설기준),2028-05-10 00:00:00.0,2026-07-01 00:55:46.815,경기도 광주시,4714594,경기도,경기도 광주시,2026-05-12,2,1,1,(주)정동에프앤비,식품제조가공업,경기도,경기도 성남시
농업회사법인 (주)들에푸드,식품제조가공업,20210537019,20260518,20260518,-,영업허가·등록취소,(20260310)영업시설의 전부를 철거(멸실),경상북도 포항시 북구,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2028-05-16 00:00:00.0,2026-05-20 17:40:27.111,경상북도 포항시,4722598,경상북도,경상북도 포항시,2026-05-18,2,2,2,농업회사법인 (주)들에푸드,식품제조가공업,경상북도,경상북도 포항시
(주)석송식품,식품제조가공업,20110372411,20260527,20260527,-,영업소폐쇄,(20260401)영업시설의 전부를 철거한 경우,경기도 포천시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2028-05-25 00:00:00.0,2026-05-28 15:40:50.841,경기도 포천시,4723585,경기도,경기도 포천시,2026-05-27,1,1,1,(주)석송식품,식품제조가공업,경기도,경기도 포천시
주식회사 카페베네,식품제조가공업,20210389798,20260618,20260618,-,영업소폐쇄,(20250729)영업시설물 전부 철거,경기도 양주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2028-06-16 00:00:00.0,2026-06-23 12:40:17.123,경기도 양주시,4727529,경기도,경기도 양주시,2026-06-18,1,1,1,주식회사 카페베네,식품제조가공업,경기도,경기도 양주시
