RTRVLDSUSE_SEQ,inspection_record_date,inspection_items,inspection_item_count,inspection_product,inspection_product_type,inspection_company,inspection_licence,inspection_institution,inspection_sido,recall_product,recall_reason,recall_company,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,recall_method,DISTBTMLMT,recall_product_type,image_path,PRDLST_CD,CRET_DTM,PRDLST_REPORT_NO,recall_grade,recall_item_type,recall_licence,recall_sido,sigungu,recall_record_date
3000231105,2026-07-20,디페노코나졸 | 뷰프로페진,2,냉동얼갈이,엇갈이배추,주식회사 케이원무역,20240017800,,경기도,냉동얼갈이,잔류농약 기준 초과,주식회사 케이원무역,경기도 평택시,,8809415401912,1kg,포장일자: 2026.2.6,,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2607839, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2607840",A0600200100000,2026-07-21 14:37:08.60799,,2등급,엇갈이배추,20240017800,경기도,경기도 평택시,2026-07-21
3000231899,2026-07-31,3-MCPD,1,브래그 리퀴드 아미노스(BRAGG ALL PURPOSE SEASONING LIQUID AMINOS_473ML),산분해간장,(주)코어랜드마크,20190004384,경인청 유해물질분석과,인천광역시,브래그 리퀴드 아미노스(BRAGG ALL PURPOSE SEASONING LIQUID AMINOS_473ML),3-MCPD 기준 초과,(주)코어랜드마크,인천광역시,,7430500016,473mL,데이터없음,,(소비기한) 2027.9.18.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621311, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621312, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621313, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621314",C0311050000000,2026-07-31 17:31:00.579171,,2등급,산분해간장,20190004384,인천광역시,인천광역시,2026-07-31
3000232048,2026-08-04,제랄레논,1,찰수수,수수,농업회사법인연농유통,,충청남도 보건환경연구원 식약품연구부,충청남도,찰수수,제랄레논 기준치 초과,농업회사법인연농유통,충청남도 논산시,,21000444190470070009,500g,2026. 7. 23.(포장일자),영업자 방문 회수,,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2623955, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2623986",A0100600000000,2026-08-05 13:21:12.44209,,3등급,수수,,충청남도,충청남도 논산시,2026-08-05
3000232055,2026-08-04,대장균,1,거대곰탕,식육추출가공품,주식회사 유니버셜푸드랩,20100125009,부산광역시 보건환경연구원 동물위생시험소 축산물검사팀,부산광역시,거대곰탕,대장균 기준규격 부적합,주식회사 유니버셜푸드랩,부산광역시 기장군,,8809676870007,500g,데이터없음,"1차 판매업소 유통재고량 회수, 개별소비자 연락 후 반품조치","(소비기한)2027-07-07, 2027-07-08",축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625531, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625532, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625533, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625548",C0316060000000,2026-08-05 14:20:10.954457,2010012500926,3등급,식육추출가공품,20100125009,부산광역시,부산광역시 기장군,2026-08-05
3000232189,2026-08-06,세균수,1,에나배주스,과.채주스,한국배영농조합법인,20240910453,경상남도 보건환경연구원 감염병연구부,경상남도,에나배주스,세균수 기준 규격 부적합,한국배영농조합법인,경상남도 진주시,,,100ml,데이터없음,거래처 재고량 반품(소비자 보관 물량 없음),(소비기한)2028-04-21,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2627335, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2627336",C0309030200000,2026-08-07 17:24:36.380531,202409104536,3등급,과.채주스,20240910453,경상남도,경상남도 진주시,2026-08-07
3000232611,2026-08-14,금속성이물,1,유기농 양배추환,기타가공품,빛가람생명농업공동체협동조합,20100512023,경상남도 보건환경연구원 식약품연구부,전남광주통합특별시,유기농 양배추환,금속성이물 기준 규격 부적합,빛가람생명농업공동체협동조합,전남광주통합특별시 나주시,,8809279330601,100g,데이터없음,소비자 보관물량 반품 회수,(소비기한)2028-04-13,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633758, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633759, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633760",C0323020000000,2026-08-14 16:47:28.310386,2010051202363,3등급,기타가공품,20100512023,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-14
3000232894,2026-08-20,소포리코사이드,1,회화나무,회화나무열매추출물,(주)팜투팜2공장,20180003915,세종특별자치시 보건환경연구원 식품연구과,충청남도,회화나무,정부수거검사 부적합(소포리코사이드 함량),(주)팜투팜2공장,충청남도 천안시 동남구,,8809176313165,,데이터없음,소비자상담실로 접수된 제품 회수 진행,20270811,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639714, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639715, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639716",E0207100000000,2026-08-21 16:04:01.792006,20180003915113,3등급,회화나무열매추출물,20180003915,충청남도,충청남도 천안시,2026-08-21
3000233730,2026-09-01,카벤다짐,1,목이버섯,목이버섯,(유)태림에스엠,20010114979,경인청 유해물질분석과,서울특별시,목이버섯,잔류농약 기준 초과,(유)태림에스엠,서울특별시 송파구,,8809260234659,1kg,(포장일자) 2026.1.14,소비자반품,(소비기한) 포장일로부터 2년,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2647933, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2647934",A0700700000000,2026-09-02 16:33:34.057724,,2등급,목이버섯,20010114979,서울특별시,서울특별시 송파구,2026-09-02
3000234126,2026-09-08,세균수,1,제주 천혜향 아직도 까서 먹니,과.채주스,농업회사법인 (주)제주향,20150631583,경기도 경기도보건환경연구원 북부지원,제주특별자치도,제주 천혜향 아직도 까서 먹니,세균수 기준 규격 부적합,농업회사법인 (주)제주향,제주특별자치도 서귀포시,,8809429114150,120ml,데이터없음,,(소비기한) 2028-07-15,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654518, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654316",C0309030200000,2026-09-09 14:07:10.532364,2015063158336,3등급,과.채주스,20150631583,제주특별자치도,제주특별자치도 서귀포시,2026-09-09
3000234234,2026-09-09,아세타미프리드,1,백목이버섯,목이버섯,성민통상 주식회사,20230023177,광주청 유해물질분석과,경기도,백목이버섯,잔류농약 기준 초과,성민통상 주식회사,경기도 안산시 상록구,,8809460180084,1kg,(포장일자) 2026.4.2,,(소비기한) 포장일로부터 24개월,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655741, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655742",A0700700000000,2026-09-10 18:28:15.879753,,2등급,목이버섯,20230023177,경기도,경기도 안산시,2026-09-10
3000234237,2026-09-09,카벤다짐,1,목이버섯,목이버섯,(주)태양무역,20200005547,광주청 유해물질분석과,서울특별시,목이버섯,잔류농약 기준 초과,(주)태양무역,서울특별시 구로구,,2001870250005,1kg,(포장일자) 2026.5.26,,(소비기한) 포장일로부터 2년,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655804, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655805",A0700700000000,2026-09-10 18:28:55.691056,,2등급,목이버섯,20200005547,서울특별시,서울특별시 구로구,2026-09-10
