PRDTNM,RTRVLPRVNS,BSSHNM,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,RTRVLPLANDOC_RTRVLMTHD,DISTBTMLMT,PRDLST_TYPE,IMG_FILE_PATH,PRDLST_CD,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,RTRVL_GRDCD_NM,PRDLST_CD_NM,LCNS_NO,sido,sigungu,record_date
토종황칠과마가목,세균수 기준 규격 부적합,계룡참살이영농조합,충청남도 공주시,,8809204510252,70ml,데이터없음,,2027-11-01,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2177077, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2177078",C0309010200000,2024-11-13 17:02:55.580019,3000196902,2001045830348,3등급,액상차,20010458303,충청남도,충청남도 공주시,2024-11-13
딥트3일 애플 번,자가품질위탁검사 부적합(비타민B2함량),(주)아오스,충청북도 영동군,,8809899880081,,데이터없음,유통판매처 재고제품 회수 수집 후 당사로 일괄 반송,2026.10.02,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2167949, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2167950, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2167951, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2167952",E0331900000000,2024-10-30 19:36:42.365598,3000196261,20140020012154,3등급,풋사과추출물 애플페논(Applephenon)(제2015-9호),20140020012,충청북도,충청북도 영동군,2024-10-30
발효흑삼정로얄스틱,세균수 기준 규격 부적합,농업회사법인(주)참한삼,충청남도 금산군,,8809791260318,300g,데이터없음,영업자 직접회수,2027-09-04,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2155892, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2155893",C0309010200000,2024-10-15 17:59:40.148296,3000195389,20000467023180,3등급,액상차,20000467023,충청남도,충청남도 금산군,2024-10-15
실리 TPU 걸이형 도마 (2가지 색깔),이소시아네이트 기준 규격 부적합,하나리빙,경기도 고양시 일산동구,,8809032450126,,데이터없음,거래처 재고량 반품 회수,-,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2144656, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2144657",F0100001600000,2024-09-27 17:50:09.12718,3000194613,,3등급,폴리우레탄,,경기도,경기도 고양시,2024-09-27
실리 TPU 걸이형 도마 (2가지 색깔),이소시아네이트 기준 규격 부적합,하나리빙,경기도 고양시 일산동구,,8809032450188,,데이터없음,거래처 재고량 반품 회수,-,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2144645, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2144646",F0100001600000,2024-09-27 17:49:57.723943,3000194572,,3등급,폴리우레탄,19990320223,경기도,경기도 고양시,2024-09-27
키친플라워 쿠코 티피유 도마(소) 블루,총용출량 기준 규격 부적합,동진공업사,대구광역시 동구,,8809116195837,,데이터없음,직접재고 회수 및 유선통보하여 전량회수,-,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2143179, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2143180",F0100001600000,2024-09-25 17:10:46.228592,3000194428,,3등급,폴리우레탄,,대구광역시,대구광역시 동구,2024-09-25
키친플라워 쿠코 티피유 도마(소) 핑크,총용출량 기준 규격 부적합,동진공업사,대구광역시 동구,,880911619837,,데이터없음,직접재고 회수 및 유선통보하여 전량회수,-,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2142018, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2142283",F0100001600000,2024-09-25 17:09:40.300035,3000194439,,3등급,폴리우레탄,,대구광역시,대구광역시 동구,2024-09-25
목이버섯,중국산 건조 목이버섯에서 카벤다짐 기준초과,대성물산,서울특별시 구로구,,8809362443072,"①수입제품 1kg, 10kg, ②소분제품 50g",데이터없음,거래처(업체요청)를 통한 회수,2027.12.30,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2112661, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2112716, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2113715",A0700700000000,2024-08-21 14:19:38.160359,3000192284,,2등급,목이버섯,20040080360,서울특별시,서울특별시 구로구,2024-08-21
복분제국(15.5%),알레르기 유발물질 미표시 (이산화황),복분제국,전북특별자치도 진안군,,8809178350267,365mL,2023-04-12,업체 직접회수,,주류,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2107601, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2107602",C0314050000000,2024-08-09 17:37:40.394009,3000191890,201300191513,1등급,과실주,20130019151,전북특별자치도,전북특별자치도 진안군,2024-08-09
유한M 코엔자임Q10 에이스,붕해시험 부적합,(주)피디에이치아이엔씨,경기도 용인시 수지구,,6292620005501,500mg × 60캡슐 (총 30g),데이터없음,직접회수 또는 택배,2027.02.13.,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2087948, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2087949, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2087950",E0000000000000,2024-07-17 18:00:07.109102,3000190383,,3등급,건강기능식품,20130368095,경기도,경기도 용인시,2024-07-17
