PRDTNM,RTRVLPRVNS,BSSHNM,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,RTRVLPLANDOC_RTRVLMTHD,DISTBTMLMT,PRDLST_TYPE,IMG_FILE_PATH,PRDLST_CD,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,RTRVL_GRDCD_NM,PRDLST_CD_NM,LCNS_NO,sido,sigungu,record_date
백목이버섯,잔류농약 기준 초과,성민통상 주식회사,경기도 안산시 상록구,,8809460180084,1kg,(포장일자) 2026.4.2,,(소비기한) 포장일로부터 24개월,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655741, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655742",A0700700000000,2026-09-10 18:28:15.879753,3000234234,,2등급,목이버섯,20230023177,경기도,경기도 안산시,2026-09-10
목이버섯,잔류농약 기준 초과,(주)태양무역,서울특별시 구로구,,2001870250005,1kg,(포장일자) 2026.5.26,,(소비기한) 포장일로부터 2년,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655804, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655805",A0700700000000,2026-09-10 18:28:55.691056,3000234237,,2등급,목이버섯,20200005547,서울특별시,서울특별시 구로구,2026-09-10
제주 천혜향 아직도 까서 먹니,세균수 기준 규격 부적합,농업회사법인 (주)제주향,제주특별자치도 서귀포시,,8809429114150,120ml,데이터없음,,(소비기한) 2028-07-15,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654518, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654316",C0309030200000,2026-09-09 14:07:10.532364,3000234126,2015063158336,3등급,과.채주스,20150631583,제주특별자치도,제주특별자치도 서귀포시,2026-09-09
콩가루,금속성 이물 기준 규격 부적합,(유)제일식품,전남광주통합특별시 강진군,,,"900g, 500g, 250g",데이터없음,영업자 회수(택배 등),(소비기한) 2027-08-25,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654186, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654187",C0315070300000,2026-09-08 17:06:39.020757,3000234063,2024080200129,3등급,두류가공품,20240802001,전남광주통합특별시,전남광주통합특별시 강진군,2026-09-08
목이버섯,잔류농약 기준 초과,(유)태림에스엠,서울특별시 송파구,,8809260234659,1kg,(포장일자) 2026.1.14,소비자반품,(소비기한) 포장일로부터 2년,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2647933, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2647934",A0700700000000,2026-09-02 16:33:34.057724,3000233730,,2등급,목이버섯,20010114979,서울특별시,서울특별시 송파구,2026-09-02
100% 국산 열여덟곡 미숫가루,대장균 기준 규격 부적합,예천농산물가공협동조합,경상북도 예천군,,8800369130002,500g,데이터없음,,(소비기한) 2027-08-11,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646315, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646316",C0315070200000,2026-08-31 18:00:41.754786,3000233598,2022082414176,3등급,곡류가공품,20220824141,경상북도,경상북도 예천군,2026-08-31
윤성순장모님식혜,세균수 기준 규격 부적합,콩그린식품 2공장,경기도 고양시 일산서구,,8809601770600,"430ml, 1050ml",20260819,거래처(유통업소) 별 유선 연락 및 회수명령 즉각 전달,(소비기한) 2026-10-18,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646836, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646837, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646838, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646839",C0309080100000,2026-08-31 18:02:13.039184,3000233609,202103374671,3등급,혼합음료,20210337467,경기도,경기도 고양시,2026-08-31
자연발효가 수제생강차,세균수 기준 규격 부적합,자연발효家 농업회사법인,전남광주통합특별시 장성군,,,"200ml, 450ml",(제조일자) 2026-08-08,영업자 회수,(소비기한) 제조일로부 6개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2645210, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2645199",C0309010200000,2026-08-28 17:54:16.921133,3000233538,201905320454,3등급,액상차,20190532045,전남광주통합특별시,전남광주통합특별시 장성군,2026-08-28
목장애 요거트,대장균군 기준 규격 부적합,청춘목장,전북특별자치도 김제시,,,1000mL,(제조일자) 2026-08-24,직접수거,(소비기한) 2026-09-14,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2644083, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2644051",C0318040100000,2026-08-28 10:59:01.264335,3000233169,201704760121,3등급,발효유,20170476012,전북특별자치도,전북특별자치도 김제시,2026-08-28
진저라이저 커큐민 진저샷,세균수 기준 규격 부적합,자연농장,경기도 남양주시,,8809689951700,375g(25g*15포),데이터없음,고객반품 안내 및 유통판매업체 보관창고 재고량 판매 중지 후 회수,소비기한(2027-11-08),가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2640382, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2640383",C0309030300000,2026-08-25 13:57:11.073582,3000233015,20170333328467,3등급,과.채음료,20170333328,경기도,경기도 남양주시,2026-08-25
매운제육볶음,대장균군 기준 규격 부적합,뽕의도리 농업회사법인 유한회사,전북특별자치도 부안군,,,100g,(제조일자) 2026-08-05,직접수거,(소비기한) 2027-08-04,축산물,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639848,C0316050100000,2026-08-25 10:52:43.168018,3000233012,20120476014844,3등급,양념육,20120476014,전북특별자치도,전북특별자치도 부안군,2026-08-25
깐땅콩,소비기한을 사실과 다르게 표시,주식회사 장수왕,경기도 광주시,,,1000g,데이터없음,직접회수,(소비기한) 2027-10-26,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639719, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639731",C0315030200000,2026-08-25 13:58:16.598378,3000233009,,3등급,땅콩 또는 견과류가공품,20210387587,경기도,경기도 광주시,2026-08-25
회화나무,정부수거검사 부적합(소포리코사이드 함량),(주)팜투팜2공장,충청남도 천안시 동남구,,8809176313165,,데이터없음,소비자상담실로 접수된 제품 회수 진행,20270811,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639714, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639715, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639716",E0207100000000,2026-08-21 16:04:01.792006,3000232894,20180003915113,3등급,회화나무열매추출물,20180003915,충청남도,충청남도 천안시,2026-08-21
레티비전 나이트,식품첨가물(카복시메틸셀룰로스칼슘) 사용 기준 위반,(주)휴온스엔,충청남도 금산군,,8809557151867,30g(500mg*60정),데이터없음,거래처 재고량 반품 및 소비자 보관물량 회수,(소비기한)2028-01-04,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2636608, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2636609, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2636610",C0315070100000,2026-08-20 10:44:03.910623,3000232837,20190473161415,3등급,과.채가공품,20190473161,충청남도,충청남도 금산군,2026-08-20
왕갈비탕,대장균 규격 부적합,(주)더올푸드인더스트리,경기도 남양주시,,,"1,000g",(제조일자) 2026-07-22,,(소비기한) 2026-07-21,축산물,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2634608,C0316060000000,2026-08-19 13:36:08.998003,3000232676,2021026705339,3등급,식육추출가공품,20210267053,경기도,경기도 남양주시,2026-08-19
갈은 무,세균수 기준 규격 부적합,오유에프앤비 농업회사법인 주식회사,경상북도 경산시,,,30g,데이터없음,거래처 재고량 반품 및 소비자 보관물량 회수,(소비기한)2027-08-02,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2634071, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2634072",C0315070100000,2026-08-14 18:35:27.826855,3000232637,2017056036210,3등급,과.채가공품,20170560362,경상북도,경상북도 경산시,2026-08-14
유기농 양배추환,금속성이물 기준 규격 부적합,빛가람생명농업공동체협동조합,전남광주통합특별시 나주시,,8809279330601,100g,데이터없음,소비자 보관물량 반품 회수,(소비기한)2028-04-13,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633758, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633759, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633760",C0323020000000,2026-08-14 16:47:28.310386,3000232611,2010051202363,3등급,기타가공품,20100512023,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-14
노노지 양배추칼,식약처에 수입신고하지 아니한 식품용 기구 및 용기포장 수입·판매,제이에스제이(주),경기도 광주시,,,-,-,,-,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633020, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2633021",F0000000000000,2026-08-13 18:00:39.834009,3000232549,,1등급,기구 및 용기포장,20250019918,경기도,경기도 광주시,2026-08-13
신우 칵테일얼음,제조일자 사실과 다르게 표시,(주)신우농수산 제2공장,부산광역시 사하구,,8809202175552,2.5kg,(제조일자)2026-08-20,,,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2631885, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2632039",C0302040100000,2026-08-13 14:41:08.20059,3000232531,198201440153,3등급,식용얼음,19820144015,부산광역시,부산광역시 사하구,2026-08-13
당근무침,세균수 기준 규격 부적합,농업회사법인전주비빔밥유한회사제1공장,전북특별자치도 전주시 덕진구,,,300g,데이터없음,거래처를 통한 영업자 회수(택배),(소비기한)2027-08-04,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2630433,C0315070100000,2026-08-11 18:01:48.931646,3000232395,2021048559021,3등급,과.채가공품,20210485590,전북특별자치도,전북특별자치도 전주시,2026-08-11
두바이쫀득쿠키,무등록 식품 제조.판매,낵스,충청남도 아산시,,,600g(30g*20개),데이터없음,서면통보,(소비기한)2027-02-13 ~ 2027-03-23,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2629451, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2630182",C0301010000000,2026-08-11 18:15:51.456006,3000232404,2025070224586,1등급,과자,20250702245,충청남도,충청남도 아산시,2026-08-11
딸기두바이쫀득쿠키,무등록 식품 제조.판매,낵스,충청남도 아산시,,,800g(40g*20개),데이터없음,서면통보,(소비기한)2027-02-13 ~ 2027-03-23,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2629448,C0301010000000,2026-08-11 18:29:11.60992,3000232426,2025070224596,1등급,과자,20250702245,충청남도,충청남도 아산시,2026-08-11
에나배주스,세균수 기준 규격 부적합,한국배영농조합법인,경상남도 진주시,,,100ml,데이터없음,거래처 재고량 반품(소비자 보관 물량 없음),(소비기한)2028-04-21,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2627335, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2627336",C0309030200000,2026-08-07 17:24:36.380531,3000232189,202409104536,3등급,과.채주스,20240910453,경상남도,경상남도 진주시,2026-08-07
두부과자,"표시대상 알레르기 유발 원료성분(달걀, 땅콩, 대두, 밀) 미표시",금호제과,경기도 양주시,,8809332030226,140g,데이터없음,영업자 회수,"(소비기한) 2027-6-29, 2027-07-14",가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2628343, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2628344, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2628347",C0301010000000,2026-08-07 17:22:41.196834,3000232257,2011037020939,1등급,과자,20110370209,경기도,경기도 양주시,2026-08-07
종이제 식품용기_아크릴수지 코팅,총용출량 기준 규격 부적합,(주)팩스타,경기도 남양주시,,,-,(제조일자)2026-07-23,매일 센터별 지정 운송편으로 순차 회수 진행,-,기구용기포장,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2628284,F0100001100000,2026-08-07 17:25:56.448181,3000232278,,3등급,아크릴수지,20110362124,경기도,경기도 남양주시,2026-08-07
찰수수,제랄레논 기준치 초과,농업회사법인연농유통,충청남도 논산시,,21000444190470070009,500g,2026. 7. 23.(포장일자),영업자 방문 회수,,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2623955, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2623986",A0100600000000,2026-08-05 13:21:12.44209,3000232048,,3등급,수수,,충청남도,충청남도 논산시,2026-08-05
거대곰탕,대장균 기준규격 부적합,주식회사 유니버셜푸드랩,부산광역시 기장군,,8809676870007,500g,데이터없음,"1차 판매업소 유통재고량 회수, 개별소비자 연락 후 반품조치","(소비기한)2027-07-07, 2027-07-08",축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625531, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625532, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625533, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2625548",C0316060000000,2026-08-05 14:20:10.954457,3000232055,2010012500926,3등급,식육추출가공품,20100125009,부산광역시,부산광역시 기장군,2026-08-05
딱새우회,세균수 기준 규격 부적합,(주)새우닭푸드랩,서울특별시 강북구,,,150g,(제조일자)2026-01-19,소비자 보관물량회수,(소비기한)제조일로부터 1년,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621506, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621507",C0319060000000,2026-07-31 18:24:21.635885,3000231832,202000531363,3등급,기타 수산물가공품,20200053136,서울특별시,서울특별시 강북구,2026-07-31
마야항아리프리미엄굴소스,표시대상 알레르기 유발 원료성분(조개류(굴)) 미표시,마야에프앤비,경기도 여주시,,8800523018115,420g,(제조일자)2025-08-04~2026-07-08,"즉석판매제조ㆍ가공업소에서 최종소비자에게 직접 판매한 제품으로, 중간 유통ㆍ판매업소 재고는 없는 것으로 확인됨. 구매자대상 문자안내, 전화안내, 온라인 판매페이지 회수공지 등",(소비기한) 제조일로부터 1년,즉석판매제조가공업 제조식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2620789, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2620790",C0312020100000,2026-07-31 11:17:03.061635,3000231863,,1등급,소스,20230531174,경기도,경기도 여주시,2026-07-31
브래그 리퀴드 아미노스(BRAGG ALL PURPOSE SEASONING LIQUID AMINOS_473ML),3-MCPD 기준 초과,(주)코어랜드마크,인천광역시,,7430500016,473mL,데이터없음,,(소비기한) 2027.9.18.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621311, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621312, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621313, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621314",C0311050000000,2026-07-31 17:31:00.579171,3000231899,,2등급,산분해간장,20190004384,인천광역시,인천광역시,2026-07-31
딱새우회,세균수 기준 규격 부적합,(주)새우닭푸드랩,서울특별시 강북구,,,135g,(제조일자)2025-10-13,소비자 보관물량회수,(소비기한)제조일로부터 1년,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621486, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621487",C0319060000000,2026-07-31 18:23:41.40358,3000231829,202000531363,3등급,기타 수산물가공품,20200053136,서울특별시,서울특별시 강북구,2026-07-31
딱새우회,세균수 기준 규격 부적합,(주)새우닭푸드랩,서울특별시 강북구,,,"135g, 200g",(제조일자)2026-04-17,소비자 보관물량회수,(소비기한)제조일로부터 1년,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621502, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2621503",C0319060000000,2026-07-31 18:24:48.30595,3000231838,202000531363,3등급,기타 수산물가공품,20200053136,서울특별시,서울특별시 강북구,2026-07-31
우롱티,식약처에 수입신고하지 아니한 식품을 수입·판매,어라운드비,경기도 의정부시,,8934588870118,320mL,-,판매매장(아시아마트)에 회수사실알림 자체 공지 시행(매장에서 소비자 직접 판매로 별도의 소비자 인적사항이 확인되지 않아 자체 공지로 회수 진행),2026.12.16.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618018, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618019, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618020",C0000000000000,2026-07-29 18:15:37.165617,3000231749,,1등급,가공식품,20220908582,경기도,경기도 의정부시,2026-07-29
참조아라유기농블루베리즙,중금속(납) 기준 규격 부적합,포항블루베리농원,경상북도 포항시 남구,,8809491420081,"480ml (80ml*6개), 960ml (80ml*12개)",데이터없음,영업자 회수,(소비기한)2028-02-13,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2617183, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2617557, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618053, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618054",C0309030200000,2026-07-29 17:29:10.086953,3000231671,201405330492,2등급,과.채주스,20140533049,경상북도,경상북도 포항시,2026-07-29
조미어표,황색포도상구균 기준 규격 부적합,유창상회,부산광역시 중구,,,10kg,(제조일자)2026-07-20,대면 방문회수,(소비기한) 제조일로부터 6개월,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618413,C0319030100000,2026-07-29 17:30:25.665968,3000231676,200101260032,2등급,조미건어포,20010126003,부산광역시,부산광역시 중구,2026-07-29
치즈두부,식약처에 수입신고하지 아니한 식품을 수입·판매,어라운드비,경기도 의정부시,,,500g,데이터없음,판매매장(아시아마트)에 회수사실알림 자체 공지 시행(매장에서 소비자 직접 판매로 별도의 소비자 인적사항이 확인되지 않아 자체 공지로 회수 진행),2028.2.1.,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2618017,C0000000000000,2026-07-29 18:16:14.727217,3000231744,,1등급,가공식품,20220908582,경기도,경기도 의정부시,2026-07-29
해담은베리 순수 여주,세균수 기준 규격 부적합,해담은 베리,전북특별자치도 부안군,,,1L,(제조일자)2026-07-09,직접 수거,(소비기한)제조일로부터 1년,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2615802, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2615803",C0309030200000,2026-07-28 17:19:30.614964,3000231535,2016050111621,3등급,과.채주스,20160501116,전북특별자치도,전북특별자치도 부안군,2026-07-28
냉동얼갈이,잔류농약 기준 초과,주식회사 케이원무역,경기도 평택시,,8809415401912,1kg,포장일자: 2026.2.6,,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2607839, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2607840",A0600200100000,2026-07-21 14:37:08.60799,3000231105,,2등급,엇갈이배추,20240017800,경기도,경기도 평택시,2026-07-21
우리가홍삼액,세균수 기준 규격 부적합,우리가홍삼,충청남도 금산군,,,4.8L(80ml*60포),데이터없음,소비자상담실을 통한 반품처리 및 업소 내 공고문 게시,2028-01-07,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2607981, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2607985",C0309070000000,2026-07-20 18:21:54.381052,3000231069,201504670431,3등급,인삼.홍삼음료,20150467043,충청남도,충청남도 금산군,2026-07-20
곡기생,중금속(카드뮴) 기준규격 초과,(주)나음,경기도 포천시,,,600g,데이터없음,소비자반품,2029.3.30.,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2605879, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2605880, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2605881",A1227100000000,2026-07-16 18:58:33.027244,3000230989,,2등급,겨우살이,20180016067,경기도,경기도 포천시,2026-07-16
빠작복숭아무스케이크,황색포도상구균 기준 규격 부적합,(주)로열에프에스,경기도 시흥시,,,100g,데이터없음,제조업체 부적합 보관 창고 물량  회수 예정,2027-07-07,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2606071, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2606706",C0301010000000,2026-07-16 17:55:11.550624,3000231023,20200362335275,2등급,과자,20200362335,경기도,경기도 시흥시,2026-07-16
리얼푸드 토마토,세균수 기준 규격 부적합,영농조합법인 청원유기농,충청북도 청주시 흥덕구,,,3.6L(120ml*30포),데이터없음,구매고객에게 개별연락하여 회수요청,2027-07-05,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2600576, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2600577",C0309030200000,2026-07-10 17:59:03.019647,3000230742,201404150481,3등급,과.채주스,20140415048,충청북도,충청북도 청주시,2026-07-10
코엔자임Q10 100mg,붕해시험 부적합,(주)코스트코코리아,경기도 광명시,,196633914507,400mg X 240캡슐(총 96g),데이터없음,메일 발송 및 유선 통화 등,2029.1.30,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2598189, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2598190, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2598191, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2598192",E0000000000000,2026-07-08 17:38:48.724575,3000230573,,3등급,건강기능식품,20120304539,경기도,경기도 광명시,2026-07-08
쇠고기장조림(수입산),보존료(파라옥시안식향산) 기준 규격 부적합,진이에프엔비주식회사,인천광역시 미추홀구,,,1500g,2026-06-12,거래처별 보유 유통재고를 판매중지한 후 당사로 회수,2027-06-11,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2600167,C0316070000000,2026-07-09 17:59:48.716427,3000230579,2021019528231,3등급,식육함유가공품,20210195282,인천광역시,인천광역시 미추홀구,2026-07-09
냉동만두피,세균수 기준 규격 부적합,태산식품,인천광역시 검단구,,,450g,2026-06-26,업체 측에서 택배로 배송,제조일로부터 9개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2595410, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2594987",C0322030200000,2026-07-07 17:16:49.385031,3000228307,202502926525,3등급,만두피,20250292652,인천광역시,인천광역시 검단구,2026-07-07
프리미엄 대두레시틴 골드 플러스,자가품질위탁검사 부적합(인지질 함량 미달),(주)아오스,충청북도 영동군,,8809001239653,81g,-,유통업체 보관 창고 제품 회수 수집 후 당사로 일괄 반송,2028.5.26,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2589307, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2589308, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2589309, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2589310, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2589311, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2589312",E0201800000000,2026-07-01 11:11:16.548409,3000228060,20140020012177,3등급,레시틴,20140020012,충청북도,충청북도 영동군,2026-07-01
소다홉,세균수 기준 규격 부적합,에이홉(A HOP COMPANY),경상북도 포항시 북구,,8809907800186,355ml,2025-11-03,홍보용 거래처 회수 가능 여부 확인,제조일로부터 24개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2587528, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2587529, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2587530",C0309040100000,2026-07-01 09:42:48.0131,3000227960,2022046124619,3등급,탄산음료,20240829749,경상북도,경상북도 포항시,2026-07-01
명품갈비탕 기본맛,대장균 기준 규격 부적합,앰엔제이fnb,경기도 평택시,,,900g,2026-06-20,택배 반품 회수,제조일로부터 12개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2587526, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2587863",C0322020300000,2026-06-29 17:37:20.512756,3000227952,2025046015891,3등급,즉석조리식품,20250460158,경기도,경기도 평택시,2026-06-29
자숙홍합살,대장균 기준 규격 부적합,(주)윈윈농수산,경기도 양평군,,8809625586478,300g,데이터없음,한살림물류센터에서 당사 물류 차량으로 회수,'27.06.07.,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2584951,C0319060000000,2026-06-26 13:19:40.242395,3000227851,200903780245,3등급,기타 수산물가공품,20090378024,경기도,경기도 양평군,2026-06-26
투명 냉장고 정리용기 4단 세트 반찬통 마늘 보관용기 소분 보관함,식약처에 수입신고하지 아니한 식품용 기구 및 용기포장 수입·판매,주식회사 펀드랩스,경기도 김포시,,S0036927297233,,데이터없음,메일 발송 및 유선 통화 등,,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2585550, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2585551",F0000000000000,2026-06-25 17:39:04.067312,3000227875,,1등급,기구 및 용기포장,20250020555,경기도,경기도 김포시,2026-06-25
닭꼬치,"알레르기 유발물질 미표시(미표시 내용 : 닭고기, 우유, 대두, 밀, 쇠고기 함유)",미광식품,부산광역시 북구,,,1.2kg,2025-11-04 ~ 2026-5-19,유통업체(조조푸드) 재고량을 미광식품으로 반품처리,2026-11-03 ~ 2027-05-18,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2585746, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2585745",C0316050100000,2026-06-26 13:14:15.004464,3000227890,201801250192,1등급,양념육,20180125019,부산광역시,부산광역시 북구,2026-06-26
우슬닭발환,표시대상 알레르기 유발 원료성분(닭고기) 미표시,주식회사 생생드림,서울특별시 동대문구,,,"150g, 220g, 500g",데이터없음,홈페이지게시 및 거래처 연락,2026-07-02 ~ 2028-05-26,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2583989, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2583990, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2584074",C0323020000000,2026-06-24 17:57:37.339367,3000227817,2015004279825,1등급,기타가공품,20140042362,서울특별시,서울특별시 동대문구,2026-06-24
우슬닭발환,표시대상 알레르기 유발 원료성분(닭고기) 미표시,건강플러스,서울특별시 동대문구,,,0.1~40kg,데이터없음,홈페이지 게시 및 거래처에 연락하여 회수,2026-07-02 ~ 2028-05-26,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2584534, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2584535",C0323020000000,2026-06-24 17:58:22.746175,3000227821,2015004279825,1등급,기타가공품,20150042798,서울특별시,서울특별시 동대문구,2026-06-24
