LCNS_NO,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
20180537078,1,1,1,포항장미빵,식품제조가공업,경상북도,경상북도 포항시
20180537110,4,4,4,(주)어업회사법인바다36포항공장,식품제조가공업,경상북도,경상북도 포항시
20180542020,10,10,6,대구농산(주) 강동지점,식품제조가공업,경상북도,경상북도 경주시
20180542424,1,1,1,두리씨엔에스,식품제조가공업,경상북도,경상북도 경주시
20180542999,1,1,1,농업회사 법인 경주로칼푸드(주),식품제조가공업,경상북도,경상북도 경주시
20180543265,1,1,1,에이치엠피(주),식품소분업,경상북도,경상북도 경주시
20180543382,1,1,1,보리선수들,식품제조가공업,경상북도,경상북도 경주시
20180547051,1,1,1,태평원,식품제조가공업,경상북도,경상북도 안동시
20180547091,2,2,2,영농조합법인 헬소스,식품제조가공업,경상북도,경상북도 안동시
20180547131,1,1,1,농업회사법인주식회사 성실농산,식품제조가공업,경상북도,경상북도 안동시
20180547193,1,1,1,농업회사법인 주식회사 태율,식품제조가공업,경상북도,경상북도 안동시
20180547220,1,1,1,(주)안동맛자반,식품제조가공업,경상북도,경상북도 안동시
20180547326,2,2,2,영농조합법인 안동엿기름(푸른들농산),식품제조가공업,경상북도,경상북도 안동시
20180547340,1,1,1,안동yes푸드,식품제조가공업,경상북도,경상북도 안동시
20180547359,1,1,1,주식회사 청명,식품제조가공업,경상북도,경상북도 안동시
20180547435,1,1,1,농업회사법인 과일드림(주),식품제조가공업,경상북도,경상북도 안동시
20180547461,3,3,3,농업회사법인 한성원주식회사,식품제조가공업,경상북도,경상북도 안동시
20180547550,2,2,2,케이앤비푸드,식품제조가공업,경상북도,경상북도 안동시
20180552664,4,3,3,주식회사낭만연구소,식품제조가공업,경상북도,경상북도 구미시
20180558018,5,5,5,채운영농조합법인제1공장,식품제조가공업,경상북도,경상북도 영주시
20180558327,1,1,1,즈비다,식품제조가공업,경상북도,경상북도 영주시
20180559025,1,1,1,주식회사 아이밀에프앤비,식품제조가공업,경상북도,경상북도 영천시
20180559183,1,1,1,주식회사 싱싱푸드,식품제조가공업,경상북도,경상북도 영천시
20180559282,2,2,2,농업회사법인(주)하비랑,식품제조가공업,경상북도,경상북도 영천시
20180559343,1,1,1,농업회사법인(주)더더,식품제조가공업,경상북도,경상북도 영천시
20180560003,1,1,1,(주)에쓰와이푸드,식품제조가공업,경상북도,경상북도 상주시
20180560066,2,2,2,농업회사법인 원진 주식회사,식품제조가공업,경상북도,경상북도 상주시
20180562053,5,5,3,농업회사법인 싱그람 주식회사,식품제조가공업,경상북도,경상북도 문경시
20180562090,1,1,1,유한회사 농업회사법인 삼미식품,식품제조가공업,경상북도,경상북도 문경시
20180564258,2,2,2,냠몽몽 쿠킹스튜디오,식품제조가공업,경상북도,경상북도 경산시
20180567002,2,2,1,영농조합법인 푸루른,식품제조가공업,경상북도,경상북도 의성군
20180567018,1,1,1,다인댁의 산골이야기 농업회사법인 주식회사,식품제조가공업,경상북도,경상북도 의성군
20180567073,2,1,2,농업회사법인 주식회사 여춘여산,식품제조가공업,경상북도,경상북도 의성군
20180567088,3,3,3,삼오종합식품(주),식품제조가공업,경상북도,경상북도 의성군
20180568013,2,2,2,농업회사법인 주왕산김치 주식회사,식품제조가공업,경상북도,경상북도 청송군
20180570067,1,1,1,농업회사 법인 영플러스 주식회사,식품제조가공업,경상북도,경상북도 영덕군
20180570125,1,1,1,홍일식품,식품제조가공업,경상북도,경상북도 영덕군
20180571069,1,1,1,반트 에이치앤에프,식품제조가공업,경상북도,경상북도 청도군
20180571110,2,2,2,수제원 에프디(FD),식품제조가공업,경상북도,경상북도 청도군
20180571113,1,1,1,농업법인주식회사 골든팜,식품제조가공업,경상북도,경상북도 청도군
20180571143,1,1,1,청도감 영농조합법인,식품제조가공업,경상북도,경상북도 청도군
20180572013,1,1,1,(주)대가야식품,식품제조가공업,경상북도,경상북도 고령군
20180572017,2,2,2,엠스푸드주식회사,식품제조가공업,경상북도,경상북도 고령군
20180572023,1,1,1,대송식품,식품제조가공업,경상북도,경상북도 고령군
20180572057,1,1,1,농업회사법인 가바라이스(주),식품제조가공업,경상북도,경상북도 고령군
20180573086,2,2,2,참샘영농조합법인,식품제조가공업,경상북도,경상북도 성주군
20180573128,6,6,4,자연누리,식품제조가공업,경상북도,경상북도 성주군
20180574029,2,2,2,(주)요리궁,식품제조가공업,경상북도,경상북도 칠곡군
20180574063,1,1,1,농업회사법인 주식회사 씨앤씨 정,식품제조가공업,경상북도,경상북도 칠곡군
20180574195,5,5,5,(주)놀이터팩토리 D1,식품제조가공업,경상북도,경상북도 칠곡군
20180574242,1,1,1,주식회사 진성바이오,식품제조가공업,경상북도,경상북도 칠곡군
20180574286,6,6,5,농업회사법인(주)금수강산,식품제조가공업,경상북도,경상북도 칠곡군
20180575102,2,1,2,소화농장,식품제조가공업,경상북도,경상북도 예천군
20180577022,4,4,4,우리진더하기 협동조합,식품제조가공업,경상북도,경상북도 울진군
20180578017,1,1,1,와식품,식품제조가공업,경상북도,경상북도 울릉군
20180581354,5,5,5,(주)유엔지푸드,식품제조가공업,경상남도,경상남도 창원시
20180581411,1,1,1,(주)유엔지푸드,식품소분업,경상남도,경상남도 창원시
20180581677,6,3,3,창원시농산물가공지원센터,식품제조가공업,경상남도,경상남도 창원시
20180587301,2,2,2,(주)알앤제이푸드,식품제조가공업,경상남도,경상남도 창원시
20180587354,4,4,3,어업회사법인우솔푸드주식회사,식품제조가공업,경상남도,경상남도 창원시
20180587550,2,2,2,씨엘(주),식품제조가공업,경상남도,경상남도 창원시
20180589064,5,3,3,어업회사법인주식회사해광,식품제조가공업,경상남도,경상남도 창원시
20180589264,2,2,2,농업회사법인(주) 가고파힐링푸드 2공장,식품제조가공업,경상남도,경상남도 창원시
20180594238,3,3,3,향유엔에이치 농업회사법인 유한회사,식품제조가공업,경상남도,경상남도 진주시
20180594512,1,1,1,수푸드팜,식품제조가공업,경상남도,경상남도 진주시
20180596355,1,1,1,대원식품(주)별관,식품제조가공업,경상남도,경상남도 통영시
20180596475,1,1,1,함지화양영농조합법인,식품제조가공업,경상남도,경상남도 통영시
20180596480,2,1,1,JD푸드,식품제조가공업,경상남도,경상남도 창원시
20180596498,1,1,1,빅마마씨푸드(주)F1,식품제조가공업,경상남도,경상남도 통영시
20180598112,4,4,4,사천시 농산물종합가공센터,식품제조가공업,경상남도,경상남도 사천시
20180598155,1,1,1,해피제과,식품제조가공업,경상남도,경상남도 사천시
20180598359,1,1,1,사남농협 우리밀 건조저장가공사업소,식품제조가공업,경상남도,경상남도 사천시
20180598516,1,1,1,주식회사 사천양봉원,식품제조가공업,경상남도,경상남도 사천시
20180599167,1,1,1,두성유통(주)김해휴게소 가야풍경채,일반음식점,경상남도,경상남도 김해시
20180599535,1,1,1,농협김해유통센터,식품제조가공업,경상남도,경상남도 김해시
20180603022,3,3,3,농업회사법인 오리온농협 주식회사,식품제조가공업,경상남도,경상남도 밀양시
20180603084,1,1,1,(주)김선애오병이어,식품제조가공업,경상남도,경상남도 밀양시
20180603151,4,4,4,밀양식품유통,식품제조가공업,경상남도,경상남도 밀양시
20180603200,1,1,1,농업회사법인 리치푸드시스템(주),식품제조가공업,경상남도,경상남도 밀양시
20180603232,1,1,1,애플보이,식품제조가공업,경상남도,경상남도 밀양시
20180603236,1,1,1,주아농원,식품제조가공업,경상남도,경상남도 밀양시
20180603327,1,1,1,유쾌한농부,식품제조가공업,경상남도,경상남도 밀양시
20180604608,8,8,8,거제시농산물가공협동조합,식품제조가공업,경상남도,경상남도 거제시
20180606017,4,4,4,(주)용원에프앤에스,식품제조가공업,경상남도,경상남도 양산시
20180606261,2,1,1,농업회사법인 바로담(주),식품제조가공업,부산광역시,부산광역시 기장군
20180606288,2,2,2,필디저트,식품제조가공업,경상남도,경상남도 양산시
20180606677,1,1,1,(주)신라병가 2공장,식품제조가공업,경상남도,경상남도 양산시
20180606758,2,1,1,(주)성우에프앤에프,식품제조가공업,경상남도,경상남도 양산시
20180606939,1,1,1,주식회사 양인터네셔널 제2공장,식품제조가공업,경상남도,경상남도 양산시
20180607124,1,1,1,비케이유통 주식회사,식품제조가공업,경상남도,경상남도 양산시
20180609007,1,1,1,너른떡영농조합법인,식품제조가공업,경상남도,경상남도 의령군
20180609010,1,1,1,농업회사법인 주식회사 의령황금메밀,식품제조가공업,경상남도,경상남도 의령군
20180609045,2,2,2,모모시루,식품제조가공업,경상남도,경상남도 의령군
20180610132,1,1,1,(주)씨앤비에프 2공장,식품제조가공업,경상남도,경상남도 함안군
20180612015,2,2,2,산들블루베리푸드,식품제조가공업,경상남도,경상남도 고성군
20180612023,1,1,1,천가수산식품,식품제조가공업,경상남도,경상남도 고성군
20180614043,1,1,1,하동섬진강재첩수산 2공장,식품제조가공업,경상남도,경상남도 하동군
20180614114,1,1,1,농업회사법인 요리곳간 주식회사,식품제조가공업,경상남도,경상남도 하동군
20180614164,3,3,3,하동농산물가공영농조합법인,식품제조가공업,경상남도,경상남도 하동군
20180614178,1,1,1,지리산 하늘농원,식품제조가공업,경상남도,경상남도 하동군
20180615123,1,1,1,지리산사과 영농조합법인,식품제조가공업,경상남도,경상남도 산청군
